"Cursos","Total Repitencias"
"CONTROLES ELÉCTRICOS Y AUTOMATIZACIÓN","5"
"CORRIENTES LINGÜISTICAS","1"
"CORRIENTES LINGÜÍSTICAS","1"
"CORRIENTES LITERARIAS DE LOS SIGLO XIX Y XX","1"
"CORRIENTES PEDAGÓGICAS CONTEMPORÁNEAS","9"
"CORROSIÓN","1"
"COSTOS Y PRESUPUESTOS","99"
"COSTOS Y TOMA DE DECISIONES","1"
"COSTOS, PRECIOS Y COTIZACIONES","1"
"COSTOS, PRECIOS Y COTIZACIONES INTERNACIONALES","11"
"CREACION DE EMPRESAS","1"
"CREATIVIDAD Y LIDERAZGO","1"
"CRECIMIENTO ECONÓMICO","1"
"CRIMINALÍSTICA BÁSICA","8"
"CRIMINOLOGIA","10"
"CRISTALOGRAFÍA","16"
"CRÓNICAS Y NUEVAS NARRATIVAS","5"
"CUENTAS NACIONALES","31"
"CUERPOS CONMUTATIVOS","1"
"CUIDADO DE ENFERMERÍA A LA MADRE, NEONATO Y NIÑO SANO","2"
"CUIDADO DE ENFERMERÍA AL ADULTO I","2"
"CUIDADO DE ENFERMERÍA AL ADULTO II","7"
"CUIDADO DE ENFERMERÍA AL NIÑO Y ADOLESCENTE","1"
"CULTIVO DE CÉLULAS Y TEJIDOS VEGETALES","1"
"CULTURA DE ACTUALIDAD","7"
"CULTURA DE ACTUALIDAD I","1"
"CULTURA PERUANA","1"
"CULTURA POPULAR Y FOLKLORE","3"
"CURATORÍA EN MUSEO DE HISTORIA NATURAL","4"
"CURRÍCULO","2"
"CURSO DE INTEGRACIÓN I","3"
"CURSO DE INTEGRACIÓN II","2"
"CURSO INTEGRADO ENFERMERÍA Y CIENCIAS BÁSICAS I","2"
"CURSO INTEGRADO ENFERMERÍA Y CIENCIAS BÁSICAS II","4"
"DANZA","2"
"DANZA CLÁSICA I","2"
"DANZA CLÁSICA II","1"
"DANZA CLÁSICA VI","1"
"DANZA CONTEMPORÁNEA I","1"
"DANZA CONTEMPORÁNEA II","2"
"DANZA CONTEMPORÁNEA III","1"
"DANZAS","3"
"DANZAS DE LA COSTA","1"
"DANZAS FOLCLÓRICAS NACIONALES E INTERNACIONALES","9"
"DANZAS MODERNAS","1"
"DANZAS TRADICIONALES DEL PERÚ I","1"
"DATAWAREHOUSE","6"
"DECISIONES DE FINANCIAMIENTO","1"
"DEFENSA Y SEGURIDAD NACIONAL","4"
"DEGRADACIÓN DE SUELOS","1"
"DEMOGRAFIA","1"
"DEMOGRAFÍA","6"
"DEONTOLOGIA FORENSE","3"
"DEPORTE ACUÁTICO","2"
"DEPORTE DE CONTACTO","2"
"DEPORTE DE COORDINACIÓN Y FUERZA","3"
"DEPORTE Y RECREACIÓN I","2"
"DEPORTES","3"
"DERECHO A LA INFORMACIÓN Y DEONTOLOGÍA","10"
"DERECHO ADMINISTRATIVO","10"
"DERECHO ADMINISTRATIVO I","15"
"DERECHO ADMINISTRATIVO II","15"
"DERECHO ADUANERO","2"
"DERECHO CIVIL I (TITULO PRELIMINAR Y PERSONAS)","30"
"DERECHO CIVIL II (ACTO JURÍDICO, PRESCRIPCIÓN Y CADUCIDAD)","23"
"DERECHO CIVIL III (DERECHOS REALES)","22"
"DERECHO CIVIL IV (DERECHO DE LAS OBLIGACIONES)","21"
"DERECHO CIVIL IX (RESPONSABILIDAD CIVIL)","11"
"DERECHO CIVIL V ( (DERECHO DE LOS CONTRATOS - PARTE GENERAL)","18"
"DERECHO CIVIL VI (DERECHO DE FAMILIA)","11"
"DERECHO CIVIL VII (DERECHO DE CONTRATOS - PARTE ESPECIAL)","15"
"DERECHO CIVIL VIII (DERECHO DE SUCESIONES)","12"
"DERECHO COMERCIAL I (PARTE GENERAL)","36"
"DERECHO COMERCIAL II (DERECHO SOCIETARIO)","34"
"DERECHO COMERCIAL III (TÍTULOS VALORES)","24"
"DERECHO COMPARADO Y SISTEMAS JURÍDICOS DEL MUNDO","1"
"DERECHO CONCURSAL","3"
"DERECHO CONSTITUCIONAL","14"
"DERECHO CONSTITUCIONAL COMPARADO","1"
"DERECHO CONSTITUCIONAL DEL PERU","1"
"DERECHO CONSTITUCIONAL ECONÓMICO","4"
"DERECHO CONSTITUCIONAL I (TEORIA DE ESTADO)","17"
"DERECHO CONSTITUCIONAL II (DERECHOS FUNDAMENTALES)","18"
"DERECHO CONSTITUCIONAL TRIBUTARIO","1"
"DERECHO CONSTITUCIONAL Y ADMINISTRATIVO","2"
"DERECHO CONSTITUCIONAL Y CIVIL","1"
"DERECHO DE COMERCIO INTERNACIONAL","4"
"DERECHO DE EJECUCION PENAL","32"
"DERECHO DE FAMILIA, EL NIÑO Y EL ADOLESCENTE","1"
"DERECHO DE FAMILIA, NIÑEZ Y ADOLESCENCIA","1"
"DERECHO DE LA COMPETENCIA","4"
"DERECHO DE LA PROPIEDAD INTELECTUAL Y AUTORAL","11"
"DERECHO DE LA SEGURIDAD SOCIAL","6"
"DERECHO DE LAS CONCESIONES Y RÉGIMEN DE LA INVERSIÓN PRIVADA","1"
"DERECHO DE LAS FINANZAS PÚBLICAS","23"
"DERECHO DE LAS TELECOMUNICACIONES","1"
"DERECHO DE LOS PUEBLOS INDÍGENAS Y TRIBALES","4"
"DERECHO DE LOS TRATADOS","5"
"DERECHO DE MARCAS Y PATENTES","5"
"DERECHO DE MINERIA Y ENERGIA","5"
"DERECHO DE TRIBUTACIÓN INTERNACIONAL","2"
"DERECHO DEL NIÑO Y DEL ADOLESCENTE","2"
"DERECHO DEL TRABAJO I (DERECHO INDIVIDUAL)","15"
"DERECHO DEL TRABAJO II (DERECHO COLECTIVO)","12"
"DERECHO ECOLÓGICO Y MEDIO AMBIENTE","5"
"DERECHO ECONÓMICO","13"
"DERECHO ECONÓMICO INTERNACIONAL","1"
"DERECHO EMPRESARIAL","37"
"DERECHO GENETICO","1"
"DERECHO INFORMÁTICO","4"
"DERECHO INTERNACIONAL","13"
"DERECHO INTERNACIONAL DEL TRABAJO","1"
"DERECHO INTERNACIONAL ECONÓMICO","5"
"DERECHO INTERNACIONAL HUMANITARIO","3"
"DERECHO INTERNACIONAL PRIVADO","5"
"DERECHO INTERNACIONAL PUBLICO","5"
"DERECHO INTERNACIONAL PÚBLICO","11"
"DERECHO JUDICIAL E INTERPRETACION JURIDICA","5"
"DERECHO LABORAL","61"
"DERECHO LABORAL E INSTITUCIONAL","5"
"DERECHO LABORAL Y SEGURIDAD SOCIAL EN EL PERÚ","1"
"DERECHO MINERO","3"
"DERECHO MONETARIO, BANCARIO Y DE SEGUROS","13"
"DERECHO MUNICIPAL Y REGIONAL","3"
"DERECHO PENAL COMPARADO","2"
"DERECHO PENAL I (PARTE GENERAL)","30"
"DERECHO PENAL II (PARTE ESPECIAL I)","10"
"DERECHO PENAL III","10"
"DERECHO PENAL INTERNACIONAL","1"
"DERECHO PENAL IV (PARTE ESPECIAL III)","15"
"DERECHO PENAL MILITAR Y PROCESAL PRIVATIVO","2"
"DERECHO PROCESAL CIVIL I","14"
"DERECHO PROCESAL CIVIL II","13"
"DERECHO PROCESAL CONSTITUCIONAL","11"
"DERECHO PROCESAL DEL TRABAJO","6"
"DERECHO PROCESAL PENAL I","11"
"DERECHO PROCESAL PENAL II","7"
"DERECHO REGIONAL Y MUNICIPAL","5"
"DERECHO REGISTRAL Y NOTARIAL","22"
"DERECHO REGULATORIO","1"
"DERECHO ROMANO","18"
"DERECHO TRIBUTARIO","7"
"DERECHO TRIBUTARIO I","23"
"DERECHO TRIBUTARIO II","4"
"DERECHO TRIBUTARIO II (PARTE ESPECIAL)","32"
"DERECHO TRIBUTARIO III","16"
"DERECHO Y LEGISLACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","1"
"DERECHOS FUNDAMENTALES, CIUDADANIA Y DERECHOS HUMANOS","5"
"DERECHOS FUNDAMENTALES, CIUDADANÍA Y DERECHOS HUMANOS","38"
"DERECHOS HUMANOS","25"
"DERECHOS HUMANOS Y JUSTICIA SOCIAL","3"
"DERECHOS INTERNACIONAL PÚBLICO","4"
"DERIVADOS FINANCIEROS","13"
"DERMOFARMACIA","1"
"DESARROLLO DE APLICACIONES DISTRIBUIDAS","4"
"DESARROLLO DE INVESTIGACIÓN I","4"
"DESARROLLO DE INVESTIGACIÓN II","6"
"DESARROLLO DE LA EXPRESIÓN MUSICAL INFANTIL","1"
"DESARROLLO DE PROYECTOS DE TESIS I","8"
"DESARROLLO DE PROYECTOS DE TESIS II","5"
"DESARROLLO DE SISTEMAS MÓVILES","5"
"DESARROLLO DE SISTEMAS WEB","5"
"DESARROLLO DE TESIS I","13"
"DESARROLLO DE TESIS II","17"
"DESARROLLO DEL CASTELLANO A TRAVÉS DE LOS TEXTOS LITERARIOS","2"
"DESARROLLO DEL LENGUAJE INFANTIL","2"
"DESARROLLO DEL PENSAMIENTO LÓGICO-MATEMÁTICO","1"
"DESARROLLO DEL PENSAMIENTO MATEMÁTICO","2"
"DESARROLLO DEL PENSAMIENTO MATEMATICO EN EL NIÑO","3"
"DESARROLLO DEL PRODUCTO EN CONFECCIONES","2"
"DESARROLLO ECONÓMICO","3"
"DESARROLLO PERSONAL","66"
"DESARROLLO PERSONAL Y LIDERAZGO","68"
"DESARROLLO PSICOMOTOR, ESTIMULACIÓN Y DETECCIÓN PRECOZ","1"
"DESARROLLO REGIONAL Y LOCAL","2"
"DESARROLLO SOSTENIBLE","12"
"DESARROLLO Y DIVERSIDAD CULTURAL","9"
"DESIGN THINKING","4"
"DETECCION Y PREVENCION DE PROBLEMAS DE APRENDIZAJE","1"
"DIAGNOSTICO CLINICO EN ANIMALES MAYORES","1"
"DIAGNÓSTICO E INFORMES EN PSICOLOGÍA ORGANIZACIONAL","1"
"DIAGNÓSTICO POR IMÁGENES","1"
"DIAGNÓSTICO POR IMÁGENES EN OBSTETRICIA NORMAL","1"
"DIAGNOSTICO Y ZONIFICACION TERRITORIAL","2"
"DIALECTOLOGÍA AMAZÓNICA","1"
"DIALECTOLOGÍA ANDINA","1"
"DIALECTOLOGÍA I","3"
"DIBUJO ASISTIDO POR COMPUTADORA","14"
"DIBUJO DE INGENIERIA","1"
"DIBUJO DE INGENIERÍA","1"
"DIBUJO TÉCNICO","153"
"DIBUJO TECNICO ASISTIDO POR COMPUTADORA","2"
"DIBUJO Y DISEÑO PARA INGENIERIA","4"
"DIBUJO Y TEORÍA DEL COLOR","2"
"DICOTILEDÓNEAS II","1"
"DIDACTICA DE HISTORIA Y LAS CIENCIAS SOCIALES I","1"
"DIDÁCTICA DE LA BIOLOGÍA II","1"
"DIDACTICA DE LA COMUNICACIÓN","2"
"DIDÁCTICA DE LA COMUNICACIÓN","2"
"DIDÁCTICA DE LA EDUCACION FISICA DE BASE I","1"
"DIDÁCTICA DE LA EDUCACION FISICA DE BASE II","1"
"DIDÁCTICA DE LA EDUCACIÓN POR EL ARTE II (DIBUJO, PINTURA Y MODELADO)","4"
"DIDÁCTICA DE LA EDUCACIÓN POR EL ARTE III ( FOLKLORE, DANZAS PERUANAS, DANZAS MODERNAS)","2"
"DIDACTICA DE LA ENSEÑANZA EN MATEMATICA","1"
"DIDÁCTICA DE LA EXPRESIÓN MUSICAL LNFANTIL","2"
"DIDÁCTICA DE LA FÍSICA I","5"
"DIDÁCTICA DE LA FISICA II","1"
"DIDÁCTICA DE LA FÍSICA II","3"
"DIDÁCTICA DE LA GEOGRAFÍA Y LAS CC.SS. I","2"
"DIDÁCTICA DE LA GEOGRAFÍA Y LAS CIENCIAS SOCIALES I","1"
"DIDÁCTICA DE LA HISTORIA Y LAS CC.SS.II","2"
"DIDÁCTICA DE LA HISTORIA Y LAS CIENCIAS SOCIALES II","1"
"DIDÁCTICA DE LA LITERATURA I","3"
"DIDÁCTICA DE LA MATEMÁTICA I","2"
"DIDÁCTICA DE LA MATEMÁTICA III","5"
"DIDÁCTICA DE LA QUÍMICA II","1"
"DIDÁCTICA DE LAS CIENCIAS NATURALES I","2"
"DIDÁCTICA DE LAS CIENCIAS NATURALES II","6"
"DIDÁCTICA DE LAS CIENCIAS NATURALES III","1"
"DIDÁCTICA DE LAS CIENCIAS SOCIALES II","1"
"DIDÁCTICA DE LAS COMUNICACIÓN III ( PRODUCCIÓN Y REDACCIÓN DE TEXTOS EN PRIMARIA)","2"
"DIDÁCTICA DEL INGLES I","1"
"DIDÁCTICA DEL LENGUAJE I","1"
"DIDÁCTICA DEL LENGUAJE II","2"
"DIDÁCTICA GENERAL","6"
"DIDÁCTICA GENERAL I","1"
"DIDÁCTICA GENERAL II","1"
"DIDÁCTICA PARA EL DESARROLLO DE LAS HABILIDADES DE LA LECTO ESCRITURA","1"
"DIDÁCTICA PARA EL DESARROLLO DE LAS HABILIDADES DE LECTO-ESCRITURA","1"
"DIDÁCTICA PARA EL DESARROLLO DEL NIÑO EN SU ECOSISTEMA","1"
"DIDACTICA PARA LA ENSEÑANZA E UNA SEGUNDA LENGUA EN LA INFANCIA","3"
"DIDÁCTICA PARA LA ESTIMULACIÓN DEL PENSAMIENTO MATEMÁTICO","1"
"DIDÁCTICA PARA LA EXPRESIÓN GRÁFICO PLÁSTICA","1"
"DIDACTICAS PARA EL DESARROLLO DE LAS HABILIDADES CIENTÍFICAS Y TECNOLÓGICAS EN EL NIÑO","1"
"DIETÉTICA Y NUTRICIÓN EN SALUD REPRODUCTIVA","2"
"DINAMICA","10"
"DINÁMICA","21"
"DINÁMICA DE FLUIDOS","11"
"DINÁMICA DE FLUÍDOS","1"
"DINAMICA DE FLUIDOS COMPUTACIONAL","1"
"DINAMICA DE FLUIDOS GEOFISICOS","1"
"DINAMICA DE GRUPOS","4"
"DINÁMICAS GRUPALES","1"
"DIRECCIÓN DE ARTE","2"
"DIRECCIÓN DE MARKETING INTERNACIONAL Y GLOBAL","1"
"DIRECCIÓN ESTRATÉGICA","1"
"DIRECCIÓN ESTRATÉGICA DE EMPRESAS TURÍSTICAS","3"
"DIRECCIÓN ESTRATÉGICA INTERNACIONAL","5"
"DIRECCIÓN OPERACIONES INTERNACIONALES","4"
"DIRECCIÓN Y PRODUCCIÓN DE TELEVISIÓN","4"
"DISEÑO ASISTIDO POR COMPUTADORA","20"
"DISEÑO CURRICULAR","17"
"DISEÑO DE APLICACIONES WEB","3"
"DISEÑO DE ESTRUCTURAS HIDRAULICAS","1"
"DISEÑO DE MAQUINAS ELECTRICAS","5"
"DISEÑO DE PLANTA","9"
"DISEÑO DE PROYECTOS Y TÉCNICAS DE PROMOCIÓN SOCIAL","3"
"DISEÑO DE REACTORES","12"
"DISEÑO DE SISTEMAS","6"
"DISEÑO DE SISTEMAS DE INFORMACIÓN","25"
"DISEÑO DE SOFTWARE","18"
"DISEÑO DE UNA ARQUITECTURA WEB","5"
"DISEÑO DE VESTUARIO","6"
"DISEÑO EN ACERO Y MADERA","3"
"DISEÑO EN INGENIERIA","9"
"DISEÑO EXPERIMENTAL","11"
"DISEÑO GRÁFICO","1"
"DISEÑO GRÁFICO PARA TEXTIL Y MODA","13"
"DISEÑO INDUSTRIAL","59"
"DISEÑO PERIODÍSTICO","1"
"DISEÑO VIAL","1"
"DISEÑO Y ANALISIS DE ALGORITMOS","15"
"DISEÑO Y ANÁLISIS DE EXPERIMENTOS","1"
"DISEÑO Y EVALUACIÓN DE PROYECTOS DE DESARROLLO","2"
"DISEÑO Y FORMULACIÓN DE MEDICAMENTOS","1"
"DISEÑO Y GESTIÓN DE PROYECTOS","2"
"DISEÑO, GESTIÓN Y EVALUACIÓN DE POLÍTICAS PÚBLICAS","4"
"DISEÑOS EN ALBAÑILERIA","3"
"DISPOSITIVOS ELECTRONICOS","6"
"DISPOSITIVOS ELECTRÓNICOS","15"
"DISPOSITIVOS Y COMPONENTES ELECTRÓNICOS","4"
"DISTRIBUCION DE PLANTA","1"
"DISTRIBUCIÓN FISICA INTERNACIONAL","4"
"DIVERSIDAD ANIMAL","6"
"DIVERSIDAD CULTURAL","1"
"DIVERSIDAD DE MACROALGAS MARINAS","1"
"DIVERSIDAD GENÉTICA","1"
"DIVERSIDAD VEGETAL","7"
"DOCTRINA CONTABLE","21"
"DOCTRINA Y NORMAS DE AUDITORÍA","6"
"DOSIMETRIA DE LAS RADIACIONES","1"
"DRAMATIZACIÓN Y TÍTERES","1"
"DRAMATURGIA","2"
"E.F. ESPECIAL: PARA DISCAPACIT. FÍSICOS III","2"
"E-BUSSINES","1"
"ECOGRAFIA VETERINARIA","1"
"ECOLOGIA","4"
"ECOLOGÍA ANIMAL","2"
"ECOLOGÍA APLICADA","5"
"ECOLOGÍA DE COMUNIDADES","2"
"ECOLOGÍA DE POBLACIONES","4"
"ECOLOGÍA GENERAL","10"
"ECOLOGÍA MARINA","1"
"ECOLOGÍA MICROBIANA","1"
"ECOLOGIA POLITICA","9"
"ECOLOGÍA POLÍTICA","11"
"ECOLOGÍA TEÓRICA","1"
"ECOLOGÍA Y CONSERVACIÓN AMBIENTAL","2"
"ECOLOGÍA Y CONSERVACION DE ECOSISTEMA","1"
"ECOLOGÍA Y MEDIO AMBIENTE","1"
"ECOLOGIA Y POLITICA","2"
"ECOLOGÍA Y RECURSOS RENOVABLES","2"
"ECOLOGÍA Y SOCIEDAD","5"
"ECONOMETRÍA DE CORTE TRANSVERSAL Y DATOS DE PANEL","5"
"ECONOMETRÍA DE SERIES DE TIEMPO","1"
"ECONOMETRÍA FINANCIERA","3"
"ECONOMETRÍA I","33"
"ECONOMETRÍA II","14"
"ECONOMETRÍA III","4"
"ECONOMIA","4"
"ECONOMÍA","83"
"ECONOMÍA  PÚBLICA II","1"
"ECONOMIA (MICRO Y MACRO ECONOMIA)","1"
"ECONOMÍA ALIMENTARIA","1"
"ECONOMÍA DE LA DISTRIBUCIÓN","5"
"ECONOMIA DE LA SALUD","1"
"ECONOMÍA DE LOS RECURSOS NATURALES","6"
"ECONOMÍA DE LOS RECURSOS NATURALES Y DEL MEDIO AMBIENTE","7"
"ECONOMÍA DEL MEDIO AMBIENTE","1"
"ECONOMIA EMPRESARIAL","1"
"ECONOMÍA FINANCIERA","8"
"ECONOMIA GENERAL","115"
"ECONOMÍA GENERAL","23"
"ECONOMIA I","25"
"ECONOMIA II","28"
"ECONOMÍA II","1"
"ECONOMIA INTERNACIONAL","8"
"ECONOMÍA MINERA Y VALUACIÓN DE MINA","11"
"ECONOMÍA MONETARIA","3"
"ECONOMÍA MONETARIA INTERNACIONAL","4"
"ECONOMÍA PARA GESTIÓN","1"
"ECONOMIA PARA INGENIERIA","7"
"ECONOMÍA PARA LA GESTIÓN","1"
"ECONOMIA PESQUERA Y ACUICOLA","1"
"ECONOMIA POLITICA","27"
"ECONOMÍA POLÍTICA","1"
"ECONOMIA POLITICA I","5"
"ECONOMÍA POLITICA I","5"
"ECONOMÍA POLÍTICA I","10"
"ECONOMÍA POLÍTICA II","55"
"ECONOMÍA POLÍTICA INTERNACIONAL","2"
"ECONOMÍA POST-KEYNESIANA","2"
"ECONOMIA PUBLICA","1"
"ECONOMÍA PÚBLICA I","1"
"ECONOMÍA TURÍSTICA","1"
"ECONOMÍA Y CONTABILIDAD","3"
"ECONOMÍA Y CONTABILIDAD AGROPECUARIA","22"
"ECONOMIA Y FINANZAS","10"
"ECOTOXICOLOGÍA","1"
"ECUACIONES DIFERENCIALES","64"
"ECUACIONES DIFERENCIALES ORDINARIAS","48"
"ECUACIONES DIFERENCIALES PARCIALES","21"
"ECUACIONES DIFERENCIALES PARCIALES II","2"
"ECUACIONES EN DERIVADAS PARCIALES","3"
"EDAFOLOGÍA","4"
"EDUCACION COMPARADA","8"
"EDUCACIÓN EN SALUD","1"
"EDUCACIÓN FÍSICA ESPECIAL","12"
"EDUCACIÓN FÍSICA ESPECIAL I","1"
"EDUCACION INCLUSIVA","1"
"EDUCACIÓN INCLUSIVA","1"
"EDUCACIÓN NO FORMAL EN EDUCACIÓN INICIAL","1"
"EDUCACION PARA LA SALUD Y PRIMEROS AUXILIOS","1"
"EDUCACIÓN PSICOMOTRIZ Y RÍTMICA EN EDUCACIÓN PRIMARIA.","1"
"EDUCACION SOCIAL Y FORMACION CIUDADANA","1"
"EDUCACION Y DESARROLLO HUMANO SOSTENIBLE","2"
"EJECUCIÓN DE TESIS","9"
"ELABORACIÓN DE PAQUETES Y CIRCUITOS TURÍSTICOS","1"
"ELABORACION DE TESIS","4"
"ELABORACIÓN DE TESIS","3"
"ELABORACION Y EVALUACION DE PROYECTOS","5"
"ELABORACIÓN Y EVALUACIÓN DE PROYECTOS B","4"
"ELABORACIÓN Y EVALUACIÓN DE PROYECTOS METALÚRGICOS","1"
"ELECTRICIDAD Y ELECTRONICA  INDUSTRIAL","2"
"ELECTRICIDAD Y ELECTRÓNICA INDUSTRIAL","30"
"ELECTRICIDAD Y MAGNETISMO","53"
"ELECTRIFICACION  RURAL","1"
"ELECTRIFICACION RURAL","1"
"ELECTROMAGNETISMO","2"
"ELECTROMAGNETISMO I","6"
"ELECTROMAGNETISMO II","4"
"ELECTROMETALURGIA","3"
"ELECTRONICA DE POTENCIA","9"
"ELECTRÓNICA DE POTENCIA","13"
"ELECTRONICA DE POTENCIA I","1"
"ELECTRONICA INDUSTRIAL","1"
"ELECTROTECNIA","5"
"ELEMENTOS DE ÁLGEBRA Y GEOMETRÍA","8"
"ELEMENTOS DE MATEMÁTICA DISCRETA Y COMPUTACIONAL","1"
"ELEMENTOS DEL ARTE DRAMATICO","8"
"ELEMENTOS DEL LENGUAJE CINEMATOGRAFICO","6"
"ELEMENTOS DEL LENGUAJE DE LA DANZA","2"
"ELEMENTOS DEL LENGUAJE MUSICAL","4"
"EMBRIOLOGÍA","13"
"EMBRIOLOGÍA E HISTOLOGÍA","18"
"EMBRIOLOGIA E HISTOLOGIA ESTOMATOLOGICA","2"
"EMBRIOLOGIA E HISTOLOGIA GENERAL","8"
"EMBRIOLOGÍA E HISTOLOGÍA VETERINARIA","14"
"EMBRIOLOGÍA Y GENÉTICA","13"
"EMERGENCIAS Y DESASTRES","8"
"EMPAQUE Y EMBALAJES","4"
"EMPRENDIMIENTO","3"
"EMPRENDIMIENTO E INNOVACIÓN","124"
"EMPRESA DE COMUNICACIÓN","1"
"EMPRESA DE COMUNICACIÓN AUDIOVISUAL","4"
"ENERGIA NO CONVENCIONAL","1"
"ENERGIA RENOVABLE","1"
"ENERGÍAS RENOVABLES Y MEDIO AMBIENTE","5"
"ENFERMEDADES BACTERIALES Y MICÓTICAS EN VETERINARIA","1"
"ENFERMEDADES DE AVES","3"
"ENFERMEDADES INFECCIOSAS Y TROPICALES","7"
"ENFERMERÍA EN LA RESPONSABILIDAD SOCIAL","1"
"ENFERMERÍA Y PROMOCIÓN DE LA SALUD","1"
"ENOLOGÍA","1"
"ENSAYOS NO DESTRUCTIVOS","2"
"ENSEÑANZA Y APRENDIZAJE DE LA MEDICINA","4"
"ENVASES Y EMBALAJES","1"
"EPIDEMIOLOGIA","22"
"EPIDEMIOLOGÍA","9"
"EPIDEMIOLOGÍA VETERINARIA","1"
"EPIDEMIOLOGÍA Y DEMOGRAFÍA","3"
"EPISTEMOLOGIA","7"
"EPISTEMOLOGÍA DE LA ANTROPOLOGÍA","1"
"EPISTEMOLOGIA DE LA COMUNICACION","22"
"EPISTEMOLOGIA DE LA PSICOLOGIA","2"
"EPISTEMOLOGÍA DE LA PSICOLOGÍA","1"
"EPISTEMOLOGIA DE LAS CIENCIAS SOCIALES","8"
"EPISTEMOLOGÍA DE LAS CIENCIAS SOCIALES","10"
"EPISTEMOLOGÍA Y ANTROPOLOGÍA","8"
"EQUIPO MINERO","5"
"ERGONOMIA B","1"
"ERGONOMIA Y MEJORA DE PROCESOS","14"
"ESCUELA DE PADRES Y PROMOCIÓN SOCIAL","1"
"ESP. I DEPORTE : FÚTBOL I","1"
"ESP. I DEPORTE : NATACIÓN I","2"
"ESP. III DEPORTE : VOLEIBOL III","1"
"ESP. IV DEPORTE : FÚTBOL IV","1"
"ESP. IV DEPORTE : PREPARACIÓN FÍSICA IV","2"
"ESPECIALIDADES EN EL PERIODISMO II","1"
"ESPECTROSCOPIA MOSSBAUER","1"
"ESTABILIDAD DE SISTEMAS DE POTENCIA","1"
"ESTADISTICA","142"
"ESTADÍSTICA","14"
"ESTADISTICA ""A""","2"
"ESTADISTICA APLICADA","54"
"ESTADÍSTICA APLICADA","4"
"ESTADÍSTICA APLICADA A LA ARQUEOLOGÍA","3"
"ESTADÍSTICA APLICADA A LA COMUNICACIÓN","6"
"ESTADISTICA APLICADA A LA EDUCACIÓN","8"
"ESTADÍSTICA APLICADA A LA EDUCACIÓN","9"
"ESTADÍSTICA APLICADA A LA EDUCACIÓN FÍSICA","2"
"ESTADISTICA APLICADA A LA INGENIERIA","2"
"ESTADÍSTICA APLICADA A LA INGENIERÍA","21"
"ESTADÍSTICA APLICADA A LA LINGÜÍSTICA","5"
"ESTADISTICA APLICADA A LAS CIENCIAS SOCIALES","18"
"ESTADÍSTICA APLICADA A LAS CIENCIAS SOCIALES","47"
"ESTADISTICA APLICADA I","7"
"ESTADÍSTICA APLICADA I","15"
"ESTADÍSTICA APLICADA II","28"
"ESTADISTICA DESCRIPTIVA","26"
"ESTADÍSTICA DESCRIPTIVA","12"
"ESTADÍSTICA DESCRIPTIVA Y EXPLORATORIA","6"
"ESTADÍSTICA DESCRIPTIVA Y PROBABILIDADES","11"
"ESTADÍSTICA GENERAL","1"
"ESTADÍSTICA I","46"
"ESTADISTICA II","2"
"ESTADÍSTICA II","84"
"ESTADISTICA INDUSTRIAL","3"
"ESTADÍSTICA INDUSTRIAL","24"
"ESTADISTICA INFERENCIAL","56"
"ESTADÍSTICA INFERENCIAL","54"
"ESTADISTICA MULTIVARIANTE","4"
"ESTADÍSTICA PARA EL ANÁLISIS SOCIOLÓGICO","3"
"ESTADÍSTICA Y ECONOMETRÍA FINANCIERA ¿EMPRESARIAL","3"
"ESTADÍSTICA Y PROBABILIDAD","17"
"ESTADISTICA Y PROBABILIDADES","17"
"ESTADISTICAS Y PROBABILIDADES","1"
"ESTATICA","19"
"ESTETICA","9"
"ESTOMATOLOGÍA INTEGRADA IV","1"
"ESTOMATOLOGÍA INTEGRADA V","2"
"ESTOMATOLOGÍA INTEGRAL DEL NIÑO Y ADOLESCENTE III","3"
"ESTOMATOLOGÍA LEGAL Y FORENSE","1"
"ESTOMATOLOGIA REHABILITADORA I","14"
"ESTOMATOLOGIA REHABILITADORA II","1"
"ESTOMATOLOGIA REHABILITADORA III","6"
"ESTOMATOLOGÍA REHABILITADORA IV","1"
"ESTRATEGIAS DE APRENDIZAJE E INVESTIGACIÓN","2"
"ESTRATEGIAS DE APRENDIZAJE EN EDUCACIÓN SUPERIOR UNIVERSITARIA","20"
"ESTRATEGIAS DE COMUNICACIÓN SOCIO CULTURAL","6"
"ESTRATEGIAS DE DISTRIBUCIÓN INTERNACIONAL","1"
"ESTRATEGIAS DE NEGOCIACION EN EL MANEJO DE CONFLICTO","7"
"ESTRATEGIAS DE PROMOCIÓN DE LA SALUD Y PREVENCIÓN DE ENFERMEDADES","1"
"ESTRATEGIAS DE SELECCIÓN DE PERSONAL Y EVALUACIÓN DEL DESEMPEÑO","2"
"ESTRATEGIAS DIDÁCTICAS PARA LA ATENCIÓN INTEGRAL DEL NIÑO","6"
"ESTRATEGIAS PARA EL DESARROLLO DE LOS VALORES EN EL NIÑO Y LA NIÑA DE EDUCACIÓN PRIMARIA","1"
"ESTRATEGIAS PARA LA ESTIMULACIÓN DE LOS PROCESOS COGNITIVOS Y AFECTIVOS","2"
"ESTRATIFICACIÓN Y CAMBIO SOCIAL","4"
"ESTRATIGRAFÍA","10"
"ESTRUCTURA CRÓMOSOMICA","1"
"ESTRUCTURA DE DATOS","61"
"ESTRUCTURA DE DATOS I","2"
